Year;race_ethnicity;date;milestone
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1958;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;Black;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1959;White;;
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1960;White;1960;Sit–in movement and founding of SNCC                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;Hispa;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1961;White;1961;CORE and Freedom Rides                                  
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;Arab ;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1962;White;1962;Integration of Ole Miss                                 
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;Black;1963;Birmingham church bombed                                
1963;Black;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1963;White;1963;Birmingham church bombed                                
1963;White;1963;“I Have a Dream�?                                    
1964;Hispa;1964;Civil Rights Act of 1964                                
1964;Hispa;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
1964;White;1964;Freedom Summer and the “Mississippi Burning�? murders
1964;White;1964;Civil Rights Act of 1964                                
