Year;Award;Name;race_ethnicity
1952;Directing                   ;John Ford                      ;White
1952;Directing                   ;John Huston                    ;White
1952;Directing                   ;Joseph L. Mankiewicz           ;White
1953;Actor                       ;Burt Lancaster                 ;White
1953;Actor                       ;Marlon Brando                  ;White
1953;Actor                       ;Montgomery Clift               ;White
1953;Actor                       ;Richard Burton                 ;White
1953;Actor                       ;William Holden                 ;White
1953;Actor in a Supporting Role  ;Brandon De Wilde               ;White
1953;Actor in a Supporting Role  ;Eddie Albert                   ;White
1953;Actor in a Supporting Role  ;Frank Sinatra                  ;White
1953;Actor in a Supporting Role  ;Jack Palance                   ;White
1953;Actor in a Supporting Role  ;Robert Strauss                 ;White
1953;Actress                     ;Audrey Hepburn                 ;White
1953;Actress                     ;Ava Gardner                    ;White
1953;Actress                     ;Deborah Kerr                   ;White
1953;Actress                     ;Leslie Caron                   ;White
1953;Actress                     ;Maggie McNamara                ;White
1953;Actress in a Supporting Role;Donna Reed                     ;White
1953;Actress in a Supporting Role;Geraldine Page                 ;White
1953;Actress in a Supporting Role;Grace Kelly                    ;White
1953;Actress in a Supporting Role;Marjorie Rambeau               ;White
1953;Actress in a Supporting Role;Thelma Ritter                  ;White
1953;Directing                   ;Billy Wilder                   ;White
1953;Directing                   ;Charles Walters                ;White
1953;Directing                   ;Fred Zinnemann                 ;White
1953;Directing                   ;George Stevens                 ;White
1953;Directing                   ;William Wyler                  ;White
1954;Actor                       ;Bing Crosby                    ;White
1954;Actor                       ;Dan O'Herlihy                  ;White
1954;Actor                       ;Humphrey Bogart                ;White
1954;Actor                       ;James Mason                    ;White
