Year;Award;Winner;Film;Name
2010;Directing                   ;1;The King's Speech              ;Tom Hooper                                                
2010;Directing                   ;;The Social Network             ;David Fincher                                             
2010;Directing                   ;;True Grit                      ;Joel Coen and Ethan Coen                                  
2011;Directing                   ;1;The Artist                     ;Michel Hazanavicius                                       
2011;Directing                   ;;The Descendants                ;Alexander Payne                                           
2011;Directing                   ;;Hugo                           ;Martin Scorsese                                           
2011;Directing                   ;;Midnight in Paris              ;Woody Allen                                               
2011;Directing                   ;;The Tree of Life               ;Terrence Malick                                           
2012;Directing                   ;;Amour                          ;Michael Haneke                                            
2012;Directing                   ;;Beasts of the Southern Wild    ;Benh Zeitlin                                              
2012;Directing                   ;1;Life of Pi                     ;Ang Lee                                                   
2012;Directing                   ;;Lincoln                        ;Steven Spielberg                                          
2012;Directing                   ;;Silver Linings Playbook        ;David O. Russell                                          
2013;Directing                   ;;American Hustle                ;David O. Russell                                          
2013;Directing                   ;1;Gravity                        ;Alfonso Cuarón                                           
2013;Directing                   ;;Nebraska                       ;Alexander Payne                                           
2013;Directing                   ;;12 Years a Slave               ;Steve McQueen                                             
2013;Directing                   ;;The Wolf of Wall Street        ;Martin Scorsese                                           
