Ano,Partido,Nome,Etnia,Pais,Continente,Estado,Categoria,Winner
1967,Democratic,Faye Dunaway,White,USA,North America,Florida,ACTRESS,0
1967,Democratic,Dame Edith Evans,White,England,Europe,0,ACTRESS,0
1967,Democratic,Audrey Hepburn,White,Belgium,Europe,0,ACTRESS,0
1967,Democratic,Katharine Hepburn,White,USA,North America,Connecticut,ACTRESS,1
1967,Democratic,Carol Channing,White,USA,North America,Washington,ACTRESS IN A SUPPORTING ROLE,0
1967,Democratic,Mildred Natwick,White,USA,North America,Maryland,ACTRESS IN A SUPPORTING ROLE,0
1967,Democratic,Estelle Parsons,White,USA,North America,Massachusetts,ACTRESS IN A SUPPORTING ROLE,1
1967,Democratic,Beah Richards,Black,USA,North America,Mississippi,ACTRESS IN A SUPPORTING ROLE,0
1967,Democratic,Katharine Ross,White,USA,North America,California,ACTRESS IN A SUPPORTING ROLE,0
1968,Democratic,Alan Arkin,White,USA,North America,New York,ACTOR,0
1968,Democratic,Alan Bates,White,England,Europe,0,ACTOR,0
1968,Democratic,Ron Moody,White,England,Europe,0,ACTOR,0
1968,Democratic,Peter O'Toole,White,Ireland,Europe,0,ACTOR,0
1968,Democratic,Cliff Robertson,White,USA,North America,California,ACTOR,1
1968,Democratic,Jack Albertson,White,USA,North America,Massachusetts,ACTOR IN A SUPPORTING ROLE,1
1968,Democratic,Seymour Cassel,White,USA,North America,Michigan,ACTOR IN A SUPPORTING ROLE,0
1968,Democratic,Daniel Massey,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1968,Democratic,Jack Wild,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1968,Democratic,Gene Wilder,White,USA,North America,Wisconsin,ACTOR IN A SUPPORTING ROLE,0
1968,Democratic,Katharine Hepburn,White,USA,North America,Connecticut,ACTRESS,1
1968,Democratic,Patricia Neal,White,USA,North America,Kentucky,ACTRESS,0
1968,Democratic,Vanessa Redgrave,White,England,Europe,0,ACTRESS,0
1968,Democratic,Barbra Streisand,White,USA,North America,New York,ACTRESS,1
1968,Democratic,Joanne Woodward,White,USA,North America,Georgia,ACTRESS,0
1968,Democratic,Lynn Carlin,White,USA,North America,California,ACTRESS IN A SUPPORTING ROLE,0
1968,Democratic,Ruth Gordon,White,USA,North America,Massachusetts,ACTRESS IN A SUPPORTING ROLE,1
1968,Democratic,Sondra Locke,White,USA,North America,Alabama,ACTRESS IN A SUPPORTING ROLE,0
1968,Democratic,Kay Medford,White,USA,North America,New York,ACTRESS IN A SUPPORTING ROLE,0
1968,Democratic,Estelle Parsons,White,USA,North America,Massachusetts,ACTRESS IN A SUPPORTING ROLE,0
1969,Republican,Richard Burton,White,Wales,Europe,0,ACTOR,0
1969,Republican,Dustin Hoffman,White,USA,North America,California,ACTOR,0
1969,Republican,Peter O'Toole,White,Ireland,Europe,0,ACTOR,0
1969,Republican,Jon Voight,White,USA,North America,New York,ACTOR,0
1969,Republican,John Wayne,White,USA,North America,Iowa,ACTOR,1
1969,Republican,Rupert Crosse,Black,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
1969,Republican,Elliott Gould,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
1969,Republican,Jack Nicholson,White,USA,North America,New Jersey,ACTOR IN A SUPPORTING ROLE,0
1969,Republican,Anthony Quayle,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,0
1969,Republican,Gig Young,White,USA,North America,Minnesota,ACTOR IN A SUPPORTING ROLE,1
1969,Republican,Genevieve Bujold,White,Canada,North America,0,ACTRESS,0
1969,Republican,Jane Fonda,White,USA,North America,New York,ACTRESS,0
1969,Republican,Liza Minnelli,White,USA,North America,California,ACTRESS,0
1969,Republican,Jean Simmons,White,England,Europe,0,ACTRESS,0
1969,Republican,Maggie Smith,White,England,Europe,0,ACTRESS,1
1969,Republican,Catherine Burns,White,USA,North America,New York,ACTRESS IN A SUPPORTING ROLE,0
1969,Republican,Dyan Cannon,White,USA,North America,Washington,ACTRESS IN A SUPPORTING ROLE,0
1969,Republican,Goldie Hawn,White,USA,North America,Washington,ACTRESS IN A SUPPORTING ROLE,1
1969,Republican,Sylvia Miles,White,USA,North America,New York,ACTRESS IN A SUPPORTING ROLE,0
1969,Republican,Susannah York,White,England,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1970,Republican,Melvyn Douglas,White,USA,North America,Georgia,ACTOR,0
1970,Republican,James Earl Jones,Black,USA,North America,Mississippi,ACTOR,0
1970,Republican,Jack Nicholson,White,USA,North America,New Jersey,ACTOR,0
1970,Republican,Ryan O'Neal,White,USA,North America,California,ACTOR,0
1970,Republican,George C. Scott,White,USA,North America,Virginia,ACTOR,1
1970,Republican,Richard Castellano,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
1970,Republican,Chief Dan George,Asian,Canada,North America,0,ACTOR IN A SUPPORTING ROLE,0
1970,Republican,Gene Hackman,White,USA,North America,California,ACTOR IN A SUPPORTING ROLE,0
1970,Republican,John Marley,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
1970,Republican,John Mills,White,England,Europe,0,ACTOR IN A SUPPORTING ROLE,1
1970,Republican,Jane Alexander,White,USA,North America,Massachusetts,ACTRESS,0
1970,Republican,Glenda Jackson,White,England,Europe,0,ACTRESS,1
1970,Republican,Ali MacGraw,White,USA,North America,New York,ACTRESS,0
1970,Republican,Sarah Miles,White,England,Europe,0,ACTRESS,0
1970,Republican,Carrie Snodgress,White,USA,North America,Illinois,ACTRESS,0
1970,Republican,Karen Black,White,USA,North America,Illinois,ACTRESS IN A SUPPORTING ROLE,0
1970,Republican,Lee Grant,White,USA,North America,New York,ACTRESS IN A SUPPORTING ROLE,0
1970,Republican,Helen Hayes,White,USA,North America,Washington,ACTRESS IN A SUPPORTING ROLE,1
1970,Republican,Sally Kellerman,White,USA,North America,California,ACTRESS IN A SUPPORTING ROLE,0
1970,Republican,Maureen Stapleton,White,USA,North America,New York,ACTRESS IN A SUPPORTING ROLE,0
1971,Republican,Peter Finch,White,England,Europe,0,ACTOR,0
1971,Republican,Gene Hackman,White,USA,North America,California,ACTOR,1
1971,Republican,Walter Matthau,White,USA,North America,New York,ACTOR,0
1971,Republican,George C. Scott,White,USA,North America,Virginia,ACTOR,0
1971,Republican,Topol,Asian,Israel,Asia,0,ACTOR,0
1971,Republican,Jeff Bridges,White,USA,North America,California,ACTOR IN A SUPPORTING ROLE,0
1971,Republican,Leonard Frey,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
1971,Republican,Richard Jaeckel,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
1971,Republican,Ben Johnson,White,USA,North America,Oklahoma,ACTOR IN A SUPPORTING ROLE,1
1971,Republican,Roy Scheider,White,USA,North America,Arkansas,ACTOR IN A SUPPORTING ROLE,0
1971,Republican,Julie Christie,White,India,Asia,0,ACTRESS,0
1971,Republican,Jane Fonda,White,USA,North America,New York,ACTRESS,1
1971,Republican,Glenda Jackson,White,England,Europe,0,ACTRESS,0
1971,Republican,Vanessa Redgrave,White,England,Europe,0,ACTRESS,0
1971,Republican,Janet Suzman,White,South Africa,Africa,0,ACTRESS,0
1971,Republican,Ann-Margret,White,Sweden,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1971,Republican,Ellen Burstyn,White,USA,North America,Michigan,ACTRESS IN A SUPPORTING ROLE,0
1971,Republican,Barbara Harris,White,USA,North America,Illinois,ACTRESS IN A SUPPORTING ROLE,0
1971,Republican,Cloris Leachman,White,USA,North America,Iowa,ACTRESS IN A SUPPORTING ROLE,1
1971,Republican,Margaret Leighton,White,England,Europe,0,ACTRESS IN A SUPPORTING ROLE,0
1972,Republican,Marlon Brando,White,USA,North America,Nebraska,ACTOR,1
1972,Republican,Michael Caine,White,England,Europe,0,ACTOR,0
1972,Republican,Laurence Olivier,White,England,Europe,0,ACTOR,0
1972,Republican,Peter O'Toole,White,Ireland,Europe,0,ACTOR,0
1972,Republican,Paul Winfield,Black,USA,North America,California,ACTOR,0
1972,Republican,Eddie Albert,White,USA,North America,Illinois,ACTOR IN A SUPPORTING ROLE,0
1972,Republican,James Caan,White,USA,North America,New York,ACTOR IN A SUPPORTING ROLE,0
