year,orientation,ethnicity,winner,ratio,party
1938,Gay     ,Black,1,0,Democratic
1938,Gay     ,Hispanic,1,0,Democratic
1938,Gay     ,White,1,0,Democratic
1938,Gay     ,Asian,2,0,Democratic
1938,Gay     ,Black,2,0,Democratic
1938,Gay     ,Hispanic,2,0,Democratic
1938,Gay     ,White,2,0,Democratic
1938,Lesbian ,Asian,0,0,Democratic
1938,Lesbian ,Black,0,0,Democratic
1938,Lesbian ,Hispanic,0,0,Democratic
1938,Lesbian ,White,0,5,Democratic
1938,Lesbian ,Asian,1,0,Democratic
1938,Lesbian ,Black,1,0,Democratic
1938,Lesbian ,Hispanic,1,0,Democratic
1938,Lesbian ,White,1,0,Democratic
1938,Lesbian ,Asian,2,0,Democratic
1938,Lesbian ,Black,2,0,Democratic
1938,Lesbian ,Hispanic,2,0,Democratic
1938,Lesbian ,White,2,4,Democratic
1938,Straight,Asian,0,0,Democratic
1938,Straight,Black,0,0,Democratic
1938,Straight,Hispanic,0,0,Democratic
1938,Straight,White,0,95,Democratic
1938,Straight,Asian,1,0,Democratic
1938,Straight,Black,1,0,Democratic
1938,Straight,Hispanic,1,0,Democratic
1938,Straight,White,1,100,Democratic
1938,Straight,Asian,2,0,Democratic
1938,Straight,Black,2,0,Democratic
1938,Straight,Hispanic,2,0,Democratic
1938,Straight,White,2,96,Democratic
1939,Bisexual,Asian,0,0,Democratic
1939,Bisexual,Black,0,0,Democratic
1939,Bisexual,Hispanic,0,0,Democratic
1939,Bisexual,White,0,5,Democratic
1939,Bisexual,Asian,1,0,Democratic
1939,Bisexual,Black,1,0,Democratic
1939,Bisexual,Hispanic,1,0,Democratic
1939,Bisexual,White,1,0,Democratic
1939,Bisexual,Asian,2,0,Democratic
1939,Bisexual,Black,2,0,Democratic
1939,Bisexual,Hispanic,2,0,Democratic
1939,Bisexual,White,2,4,Democratic
1939,Gay     ,Asian,0,0,Democratic
1939,Gay     ,Black,0,0,Democratic
1939,Gay     ,Hispanic,0,0,Democratic
1939,Gay     ,White,0,0,Democratic
1939,Gay     ,Asian,1,0,Democratic
1939,Gay     ,Black,1,0,Democratic
1939,Gay     ,Hispanic,1,0,Democratic
1939,Gay     ,White,1,0,Democratic
1939,Gay     ,Asian,2,0,Democratic
1939,Gay     ,Black,2,0,Democratic
1939,Gay     ,Hispanic,2,0,Democratic
1939,Gay     ,White,2,0,Democratic
1939,Lesbian ,Asian,0,0,Democratic
1939,Lesbian ,Black,0,0,Democratic
1939,Lesbian ,Hispanic,0,0,Democratic
1939,Lesbian ,White,0,0,Democratic
1939,Lesbian ,Asian,1,0,Democratic
1939,Lesbian ,Black,1,0,Democratic
1939,Lesbian ,Hispanic,1,0,Democratic
1939,Lesbian ,White,1,0,Democratic
1939,Lesbian ,Asian,2,0,Democratic
1939,Lesbian ,Black,2,0,Democratic
1939,Lesbian ,Hispanic,2,0,Democratic
1939,Lesbian ,White,2,0,Democratic
1939,Straight,Asian,0,0,Democratic
1939,Straight,Black,0,0,Democratic
1939,Straight,Hispanic,0,0,Democratic
1939,Straight,White,0,95,Democratic
1939,Straight,Asian,1,0,Democratic
1939,Straight,Black,1,20,Democratic
1939,Straight,Hispanic,1,0,Democratic
1939,Straight,White,1,80,Democratic
1939,Straight,Asian,2,0,Democratic
1939,Straight,Black,2,4,Democratic
1939,Straight,Hispanic,2,0,Democratic
1939,Straight,White,2,96,Democratic
1940,Bisexual,Asian,0,0,Democratic
1940,Bisexual,Black,0,0,Democratic
1940,Bisexual,Hispanic,0,0,Democratic
1940,Bisexual,White,0,0,Democratic
1940,Bisexual,Asian,1,0,Democratic
1940,Bisexual,Black,1,0,Democratic
1940,Bisexual,Hispanic,1,0,Democratic
1940,Bisexual,White,1,0,Democratic
1940,Bisexual,Asian,2,0,Democratic
1940,Bisexual,Black,2,0,Democratic
1940,Bisexual,Hispanic,2,0,Democratic
1940,Bisexual,White,2,0,Democratic
1940,Gay     ,Asian,0,0,Democratic
1940,Gay     ,Black,0,0,Democratic
1940,Gay     ,Hispanic,0,0,Democratic
1940,Gay     ,White,0,5,Democratic
1940,Gay     ,Asian,1,0,Democratic
1940,Gay     ,Black,1,0,Democratic
1940,Gay     ,Hispanic,1,0,Democratic
1940,Gay     ,White,1,0,Democratic
1940,Gay     ,Asian,2,0,Democratic
1940,Gay     ,Black,2,0,Democratic
1940,Gay     ,Hispanic,2,0,Democratic
1940,Gay     ,White,2,4,Democratic
1940,Lesbian ,Asian,0,0,Democratic
1940,Lesbian ,Black,0,0,Democratic
1940,Lesbian ,Hispanic,0,0,Democratic
1940,Lesbian ,White,0,0,Democratic
1940,Lesbian ,Asian,1,0,Democratic
1940,Lesbian ,Black,1,0,Democratic
1940,Lesbian ,Hispanic,1,0,Democratic
1940,Lesbian ,White,1,0,Democratic
1940,Lesbian ,Asian,2,0,Democratic
1940,Lesbian ,Black,2,0,Democratic
1940,Lesbian ,Hispanic,2,0,Democratic
1940,Lesbian ,White,2,0,Democratic
1940,Straight,Asian,0,0,Democratic
1940,Straight,Black,0,0,Democratic
1940,Straight,Hispanic,0,0,Democratic
1940,Straight,White,0,95,Democratic
1940,Straight,Asian,1,0,Democratic
1940,Straight,Black,1,0,Democratic
1940,Straight,Hispanic,1,0,Democratic
1940,Straight,White,1,100,Democratic
1940,Straight,Asian,2,0,Democratic
1940,Straight,Black,2,0,Democratic
1940,Straight,Hispanic,2,0,Democratic
1940,Straight,White,2,96,Democratic
1941,Bisexual,Asian,0,0,Democratic
1941,Bisexual,Black,0,0,Democratic
1941,Bisexual,Hispanic,0,0,Democratic
1941,Bisexual,White,0,0,Democratic
1941,Bisexual,Asian,1,0,Democratic
1941,Bisexual,Black,1,0,Democratic
1941,Bisexual,Hispanic,1,0,Democratic
1941,Bisexual,White,1,0,Democratic
1941,Bisexual,Asian,2,0,Democratic
1941,Bisexual,Black,2,0,Democratic
1941,Bisexual,Hispanic,2,0,Democratic
1941,Bisexual,White,2,0,Democratic
1941,Gay     ,Asian,0,0,Democratic
1941,Gay     ,Black,0,0,Democratic
1941,Gay     ,Hispanic,0,0,Democratic
1941,Gay     ,White,0,0,Democratic
1941,Gay     ,Asian,1,0,Democratic
1941,Gay     ,Black,1,0,Democratic
1941,Gay     ,Hispanic,1,0,Democratic
1941,Gay     ,White,1,0,Democratic
1941,Gay     ,Asian,2,0,Democratic
1941,Gay     ,Black,2,0,Democratic
1941,Gay     ,Hispanic,2,0,Democratic
1941,Gay     ,White,2,0,Democratic
1941,Lesbian ,Asian,0,0,Democratic
1941,Lesbian ,Black,0,0,Democratic
1941,Lesbian ,Hispanic,0,0,Democratic
1941,Lesbian ,White,0,0,Democratic
1941,Lesbian ,Asian,1,0,Democratic
1941,Lesbian ,Black,1,0,Democratic
1941,Lesbian ,Hispanic,1,0,Democratic
